post_id,row_index,lat,lon,lat_header,lon_header,city,state,country,country_code,display_name
663,217,22.161727070562,79.263589933778,Project main location.lat__2,Project main location.lon__2,Chaurai Tahsil,Madhya Pradesh,India,IN,"Chaurai Tahsil, Chhindwara, Madhya Pradesh, 480115, India"
663,217,50.112313451247,79.263589933778,Additional project location.lat__2,Project main location.lon__2,Кокентау ауылдық округі,Abay Region,Kazakhstan,KZ,"Кокентау ауылдық округі, Zhanasemey District, Abay Region, Kazakhstan"
664,218,5.8639881928117,13.359375,Project main location.lat__2,Project main location.lon__2,Bétaré-Oya,East,Cameroon,CM,"Bétaré-Oya, Lom-et-Djérem, East, Cameroon"
664,218,4.1567895,13.359375,Additional project location.lat__2,Project main location.lon__2,Doumaintang,East,Cameroon,CM,"Doumaintang, Haut-Nyong, East, Cameroon"
665,219,-13.2687204,33.9301963,Project main location.lat,Project main location.lon,,Ntchisi,Malawi,MW,"Ntchisi, Central Region, Malawi, Malawi"
665,219,-18.23391656712,33.9301963,Additional project location.lat,Project main location.lon,,Sofala Province,Mozambique,MZ,"Gorongosa, Sofala Province, Zona Centro, Mozambique"
665,219,-14.5189121,33.9301963,Additional project location 2.lat,Project main location.lon,,Tete Province,Mozambique,MZ,"Angónia, Tete Province, Zona Centro, Mozambique"
666,220,50.112313451247,-116.71875,Project main location.lat,Project main location.lon,Area D (Lardeau Valley/Duncan Lake),British Columbia,Canada,CA,"Area D (Lardeau Valley/Duncan Lake), Regional District of Central Kootenay, British Columbia, Canada"
667,221,1.4419683,38.4313975,Project main location.lat,Project main location.lon,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
667,221,-2.5480008,38.4313975,Additional project location.lat,Project main location.lon,Athi ward,Kitui County,Kenya,KE,"Athi ward, Kitui South, Kitui County, Kenya"
667,221,50.112313451247,38.4313975,Additional project location 2.lat,Project main location.lon,Вейделевский муниципальный округ,Belgorod Oblast,Russia,RU,"Вейделевский муниципальный округ, Belgorod Oblast, Central Federal District, Russia"
668,222,-15.498348299556,28.531494140625,Project main location.lat__2,Project main location.lon__2,,Lusaka Province,Zambia,ZM,"Chongwe District, Lusaka Province, Zambia"
668,222,50.112313451247,28.531494140625,Additional project location.lat__2,Project main location.lon__2,,Zhytomyr Oblast,Ukraine,UA,"Novohuivynske Settlement Hromada, Zhytomyr Raion, Zhytomyr Oblast, Ukraine"
669,223,55.7505412,37.6174782,Project main location.lat__2,Project main location.lon__2,Moscow,Moscow,Russia,RU,"Moscow, Central Federal District, Russia"
669,223,50.112313451247,37.6174782,Additional project location.lat__2,Project main location.lon__2,,Kharkiv Oblast,Ukraine,UA,"Великобурлуцька селищна громада, Kupiansk Raion, Kharkiv Oblast, Ukraine"
670,224,-2.2639714765035,36.925146373295,Project main location.lat__2,Project main location.lon__2,Matapato North ward,Kajiado County,Kenya,KE,"Matapato North ward, Kajiado Central, Kajiado County, Kenya"
670,224,50.112313451247,36.925146373295,Additional project location.lat__2,Project main location.lon__2,Chuhuiv Raion,Kharkiv Oblast,Ukraine,UA,"Вовчанська міська громада, Chuhuiv Raion, Kharkiv Oblast, Ukraine"
